State,program,PYC,id,procedure,function,DOSPUNTOS,var,boolean,integer,string,PARENT_ABRIR,PARENT_CERRAR,if,then,begin,end,else,while,do,repeat,until,loop,for,ASIGNACION,to,case,of,entero,otherwise,write,writeln,read,return,exit,when,COMA,or,xor,and,IGUAL,DISTINTO,MAYOR,MAYOR_IGUAL,MENOR,MENOR_IGUAL,MAS,MENOS,PRODUCTO,DIVISION,mod,POTENCIA,not,cadena,true,false,in,max,min,$,P,M1,D,R,PP,PF,PR,PPid,M2,Bloque,Pid,PRidA,A,PFidAT,T,DD,X,AA,C,B,EE,S,E,THEN,M3,FOR,EXP,N,O,VALOR,LL,V,Y,L,Q,W,F,G,H,I,J,K,Z,FIN
216,,,r35,,,,,,,,,,r35,,,r35,,r35,,r35,r35,r35,r35,,,r35,,,,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
217,,,r37,,,,,,,,,,r37,,,r37,,r37,,r37,r37,r37,r37,,,r37,,,,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
218,,s225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
219,,,,,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
220,,,r36,,,,,,,,r36,,r36,,r36,r36,,r36,,r36,r36,r36,r36,,,r36,,r36,,r36,r36,r36,r36,r36,,,,,,,,,,,,r36,r36,,,,,r36,r36,r36,r36,,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,,,,,,,,,,,,%
221,,,,,,,,,,,,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
222,,,,,,,,,,,,r61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
223,,,,,,,,,,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,s119,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
224,,s115,,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,%
225,,,r41,,,,,,,,,,r41,,,r41,,r41,,r41,r41,r41,r41,,,r41,,,,r41,r41,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
226,,s229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
227,,,,,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
228,,,,,,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
229,,,,,,,,,,,,,,,,r43,,,,,,,,,,,,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
230,,s231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
231,,,,,,,,,,,,,,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
